HP,HP Chromebook x360 14 inch FHD IPS Touch 2-in-1 Laptop Intel Processor N100 4GB RAM 64GB eMMC Sky Blue,$429.00,$199.00,(4.5),392 ratings,"['https://i5.walmartimages.com/seo/HP-Chromebook-X360-14-inch-FHD-IPS-Touch-2-in-1-Laptop-Intel-Processor-N100-4GB-RAM-64GB-eMMC-Sky-Blue_383a420a-aabf-4aec-80e2-403238eefed1.da0d8583786edcfa7ae8047341285b72.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/HP-Chromebook-X360-14-inch-FHD-IPS-Touch-2-in-1-Laptop-Intel-Processor-N100-4GB-RAM-64GB-eMMC-Sky-Blue_383a420a-aabf-4aec-80e2-403238eefed1.da0d8583786edcfa7ae8047341285b72.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF']",[],[]
Acer,Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Pure Silver,$179.00,$139.00,(4.4),"3,475 ratings",[],[],"['selected, 64 GB, $139.0064 GBNow $139.00']"
HP,HP Chromebook Plus x360 14 inch FHD IPS Touch 2-in-1 Laptop with Google AI Intel Core i3-N305 8GB RAM 128GB UFS Meteor Silver,$549.00,$429.00,(4.5),24 ratings,"['https://i5.walmartimages.com/seo/HP-Chromebook-Plus-X360-14-inch-FHD-IPS-Touch-2-in-1-Laptop-with-Google-AI-Intel-Core-i3-N305-8GB-RAM-128GB-UFS-Meteor-Silver_48ee5319-afaa-44cc-998d-48be76e0f654.d8afe68bfc0cdb18ebfd765fb21f415e.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/HP-Chromebook-Plus-X360-14-inch-FHD-IPS-Touch-2-in-1-Laptop-with-Google-AI-Intel-Core-i3-N305-8GB-RAM-128GB-UFS-Meteor-Silver_48ee5319-afaa-44cc-998d-48be76e0f654.d8afe68bfc0cdb18ebfd765fb21f415e.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF']",[],[]
ASUS,ASUS Chromebook Plus CX34 14 inch Touch Laptop with Google AI Intel Core i3-1215U 8GB RAM 128GB UFS Gray,$369.00,$329.00,(4.5),63 ratings,"['https://i5.walmartimages.com/seo/ASUS-Chromebook-Plus-CX34-14-inch-Touch-Laptop-with-Google-AI-Intel-Core-i3-1215U-8GB-RAM-128GB-UFS-Gray_d997f03d-1bc9-47c4-bbc9-298728f21c01.ba34890f4a3989e998d4ac0698904b29.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/ASUS-Chromebook-Plus-CX34-14-inch-Touch-Laptop-with-Google-AI-Intel-Core-i3-1215U-8GB-RAM-128GB-UFS-Gray_d997f03d-1bc9-47c4-bbc9-298728f21c01.ba34890f4a3989e998d4ac0698904b29.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF']",[],[]
Visit the HP Store,HP Victus 15.6 inch FHD 144Hz Gaming Laptop Intel Core i5-13420H NVIDIA GeForce RTX 4050 6GB - 16GB DDR4 512GB SSD Mica Silver (2024),"$1,099.00",$499.00,(1.0),1 rating,[],[],[]
Visit the HP Store,HP 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB SSD Natural Silver,$549.00,$229.00,(4.3),382 ratings,[],[],"['Lilac lavender, $329.00Lilac lavender$329.00', 'selected, Natural silver, $229.00Natural silver$229.00']"
Visit the HP Store,HP 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB SSD Natural Silver,$549.00,$229.00,(4.3),382 ratings,[],[],"['Lilac lavender, $329.00Lilac lavender$329.00', 'selected, Natural silver, $229.00Natural silver$229.00']"
Visit the HP Store,HP 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB SSD Lilac Lavender,$549.00,$329.00,(4.3),382 ratings,[],[],"['selected, Lilac lavender, $329.00Lilac lavender$329.00', 'Natural silver, $229.00Natural silver$229.00']"
Visit the HP Store,HP 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB SSD Natural Silver,$549.00,$229.00,(4.3),382 ratings,[],[],"['Lilac lavender, $329.00Lilac lavender$329.00', 'selected, Natural silver, $229.00Natural silver$229.00']"
Lenovo,Lenovo IdeaPad 1i 15.6 inch Windows Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Abyss Blue,$559.99,$299.00,,,[],[],[]
Lenovo,Lenovo IdeaPad Slim 3 15.6 inch FHD Touch Windows Laptop AMD Ryzen 7-7730U 16GB RAM 512GB SSD Abyss Blue,$799.99,$429.00,(4.4),61 ratings,[],[],[]
Apple,"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",$699.00,,(4.7),"3,804 ratings",[],[],"['Gold, $649.00$649.00', 'Silver, $649.00$649.00', 'selected, Space Gray, $649.00$649.00']"
Apple,"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",$699.00,,(4.7),"3,804 ratings",[],[],"['Gold, $649.00$649.00', 'Silver, $649.00$649.00', 'selected, Space Gray, $649.00$649.00']"
Apple,"Apple MacBook Air 13.3 inch Laptop - Gold, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",$699.00,,(4.7),"3,804 ratings",[],[],"['selected, Gold, $649.00$649.00', 'Silver, $649.00$649.00', 'Space Gray, $649.00$649.00']"
Apple,"Apple MacBook Air 13.3 inch Laptop - Silver, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",$699.00,,(4.7),"3,804 ratings",[],[],"['Gold, $649.00$649.00', 'selected, Silver, $649.00$649.00', 'Space Gray, $649.00$649.00']"
Apple,"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",,,(4.7),"3,804 ratings",[],[],"['Gold, $649.00$649.00', 'Silver, $649.00$649.00', 'selected, Space Gray, $649.00$649.00']"
HP,HP Chromebook x360 14 inch FHD IPS Touch 2-in-1 Laptop Intel Processor N100 4GB RAM 64GB eMMC Sky Blue,$429.00,$199.00,(4.5),392 ratings,"['https://i5.walmartimages.com/seo/HP-Chromebook-X360-14-inch-FHD-IPS-Touch-2-in-1-Laptop-Intel-Processor-N100-4GB-RAM-64GB-eMMC-Sky-Blue_383a420a-aabf-4aec-80e2-403238eefed1.da0d8583786edcfa7ae8047341285b72.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/HP-Chromebook-X360-14-inch-FHD-IPS-Touch-2-in-1-Laptop-Intel-Processor-N100-4GB-RAM-64GB-eMMC-Sky-Blue_383a420a-aabf-4aec-80e2-403238eefed1.da0d8583786edcfa7ae8047341285b72.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF']",[],[]
Acer,Acer Chromebook 315 15.6 inch Laptop Intel Processor N4500 4GB RAM 64GB eMMC Pure Silver,$179.00,$139.00,(4.4),"3,475 ratings",[],[],"['selected, 64 GB, $139.0064 GBNow $139.00']"
