brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
Visit the HP Store,HP Victus 15.6 inch FHD 144Hz Gaming Laptop Intel Core i5-13420H NVIDIA GeForce RTX 4050 6GB - 16GB DDR4 512GB SSD Mica Silver (2024),0.0,499.0,1.0,1.0,,,
Visit the HP Store,HP 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB SSD Lilac Lavender,549.0,329.0,4.3,382.0,,,"selected, Lilac lavender, $329.00Lilac lavender$329.00', 'Natural silver, $229.00Natural silver$229.00"
Visit the HP Store,HP 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256GB SSD Natural Silver,549.0,229.0,4.3,382.0,,,"Lilac lavender, $329.00Lilac lavender$329.00', 'selected, Natural silver, $229.00Natural silver$229.00"
Lenovo,Lenovo IdeaPad 1i 15.6 inch Windows Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Abyss Blue,559.99,299.0,0.0,0.0,,,
Lenovo,Lenovo IdeaPad Slim 3 15.6 inch FHD Touch Windows Laptop AMD Ryzen 7-7730U 16GB RAM 512GB SSD Abyss Blue,799.99,429.0,4.4,61.0,,,
Apple,"Apple MacBook Air 13.3 inch Laptop - Gold, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",699.0,0.0,4.7,0.0,,,"selected, Gold, $649.00$649.00', 'Silver, $649.00$649.00', 'Space Gray, $649.00$649.00"
Apple,"Apple MacBook Air 13.3 inch Laptop - Silver, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",699.0,0.0,4.7,0.0,,,"Gold, $649.00$649.00', 'selected, Silver, $649.00$649.00', 'Space Gray, $649.00$649.00"
Apple,"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",699.0,0.0,4.7,0.0,,,"Gold, $649.00$649.00', 'Silver, $649.00$649.00', 'selected, Space Gray, $649.00$649.00"
Visit the HP Store,"HP Newest 14"" Laptop, Slim Light Laptop Computer for Students and Business, Intel Quad-Core N4120, 1 Year Office 365, Webcam, HDMI, WiFi, Win 11, 16GB RAM, 256GB Storage(128GB eMMC+128GB SD)",0.0,0.0,4.2,161.0,,,"Blue', 'Pink', 'selected, Rose Gold, $279.99$279.99', 'Silver, $230.77$230.77"
Visit the HP Store,"HP Newest 14"" Laptop, Slim Light Laptop Computer for Students and Business, Intel Quad-Core N4120, 1 Year Office 365, Webcam, HDMI, WiFi, Win 11, 8GB RAM, 192GB Storage(64GB eMMC+128GB SD)",0.0,0.0,4.2,161.0,,,"selected, Blue, $220.70$220.70$220.70/ca', 'Pink', 'Rose Gold, $249.99$249.99', 'Silver"
