brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
Visit the Donner Store,"Donner Upgraded 61 Key Piano Keyboard, Electric Keyboard Kit with 249 Voices, 249 Rhythms - Includes Piano Stand, Stool, Microphone, Gift for Beginners, Black (DEK-610S)",699.99,119.99,4.6,54.0,,,"selected, Black, $119.99$119.99', 'Pink, $120.99$120.99', 'White, $120.99$120.99"
Visit the Donner Store,"Extra Save $10 Donner New 61 Key Piano Keyboard Electric Keyboard Bundle for Beginners, with Piano Stand, Stool, Microphone, Perfect Gift for Daughter, Pink (DEK-610S)",169.99,120.99,4.6,54.0,,,"Black, $119.99$119.99', 'selected, Pink, $120.99$120.99', 'White, $120.99$120.99"
Visit the Donner Store,"Extra Save $10 Donner Keyboard Piano 61 Key, Electric Keyboard Kit with 249 Voices - Includes Piano Stand, Stool, Microphone, Gift for Beginners, White (DEK-610S)",299.99,120.99,4.6,54.0,,,"Black, $119.99$119.99', 'Pink, $120.99$120.99', 'selected, White, $120.99$120.99"
Visit the Donner Store,"Donner DEP-10 Digital Piano 88 Key Semi-Weighted, Full-Size Electric Piano Portable Keyboard for Beginners, with Furniture Stand, Triple Pedals, Power Supply",499.99,299.99,4.2,38.0,,,
Glarry,"Glarry 61 Keys Keyboard with Piano Stand, Piano Bench, Built In Speakers for Beginners",119.99,72.99,3.9,30.0,,,"selected, Black, $72.99$72.99', 'Black+X Stand, $72.99$72.99', 'Pink, $89.99$89.99', 'Sliver, $72.99$72.99"
Visit the Ktaxon Store,"Glarry 61 Keys Keyboard Piano with X Stand, Bench, Built In Speakers for Beginners, for Beginners",171.98,72.99,0.0,0.0,,,"Black, $72.99$72.99', 'selected, Black+X Stand, $72.99$72.99', 'Pink, $89.99$89.99', 'Sliver, $72.99$72.99"
Visit the Ktaxon Store,"Glarry 61 Keys Keyboard Piano with Stand, Bench, Built In Speakers for Beginners, Pink",193.48,89.99,3.9,30.0,,,"Black, $72.99$72.99', 'Black+X Stand, $72.99$72.99', 'selected, Pink, $89.99$89.99', 'Sliver, $72.99$72.99"
Visit the Ktaxon Store,"Glarry 61 Keys Keyboard Piano with Stand, Bench, Built In Speakers for Beginners, Sliver",171.98,72.99,3.9,30.0,,,"Black, $72.99$72.99', 'Black+X Stand, $72.99$72.99', 'Pink, $89.99$89.99', 'selected, Sliver, $72.99$72.99"
Glarry,"Glarry 88 Keys Full Weighted Keyboards Digital Piano with Furniture Stand, Black",558.77,229.99,3.9,54.0,,,"selected, Black, $229.99$229.99', 'White, $229.99$229.99', 'Brown, $259.99, Out of stock$259.99"
Glarry,"Glarry 88 Keys Full Weighted Keyboards Digital Piano with Furniture Stand, Brown",558.98,259.99,3.9,54.0,,,"Black, $229.99$229.99', 'White, $229.99$229.99', 'selected, Brown, $259.99, Out of stock$259.99"
