brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
Invicta,Invicta Mako Pro Diver Blue Dial Men's Stainless Steel Watch 9204OB,64.9,49.99,4.8,30.0,,,"selected, Silver, $49.99$49.99"
Invicta,Invicta Pro Diver Ocean Master Chronograph Men's Watch 6986,0.0,84.99,5.0,1.0,,,
CITIZEN,Citizen Men's Eco-Drive Peyten Classic Stainless Steel Watch - BM7536-53X,395.0,199.0,5.0,2.0,,,
Bulova,Bulova Men's Automatic Stainless Steel Bracelet Watch 96A190,380.0,247.5,5.0,3.0,,,"selected, Silver/Grey, $247.50$247.50', 'Silver/Blue, $247.50, Out of stock$247.50"
Casio,Casio Men's Large Dial Analog Sport Watch with Khaki Nylon Strap,0.0,0.0,3.9,26.0,,,
Timex,Timex Men's Steel 3-Hand 40mm Watch – Two-Tone Case & Dial with Stainless Steel Bracelet,74.0,43.69,4.5,28.0,,,
CITIZEN,Citizen Eco Drive Blue Angels World Chronograph Men's Watch AT8020-03L,675.0,405.0,4.7,99.0,,,
Casio,Casio Men's Edifice Chronograph Stainless Steel Watch EFV620D-1A4V,75.0,66.0,4.9,8.0,,,
Rolex,Rolex President Day-Date 18038 Diamond Watch 18K Gold 36mm Meteorite Dial 4.18 CT,0.0,0.0,0.0,0.0,,,
George,"George Men's Digital Watch: Black Case, Positive Display, Plastic Band (FMDOGE012)",0.0,0.0,4.5,62.0,,,
Fossil,Fossil Men's Nate Chronograph Black Stainless Steel Watch (JR1401),0.0,0.0,4.2,763.0,,,"selected, Black, $115.98$115.98', 'Brown, $195.00$195.00"
Fossil,Fossil Men's Nate Chronograph Black Stainless Steel Watch(Style: JR1356),0.0,0.0,4.2,763.0,,,"Black, $115.98$115.98', 'selected, Brown, $195.00$195.00"
Casio,Casio Men's G-Shock Black Dial Watch - GA100-1A1,100.0,74.38,4.5,70.0,,,
Timex,Timex Men's Easy Reader 35mm Day-Date Watch – Silver-Tone Case White Dial with Silver-Tone Expansion Band,54.95,33.61,4.4,545.0,,,"Gold, $32.50$32.50', 'Silver/Blue, $32.50$32.50', 'selected, White, $33.61$33.61"
Timex,"Timex Men's Easy Reader Day-Date Gold/White 35mm Casual Watch, Expansion Band",0.0,0.0,4.4,545.0,,,"selected, Gold, $32.50$32.50', 'Silver/Blue, $32.50$32.50', 'White, $33.61$33.61"
Timex,"Timex Men's Easy Reader Day-Date Silver/Blue 35mm Casual Watch, Expansion Band",0.0,0.0,4.4,545.0,,,"Gold, $32.50$32.50', 'selected, Silver/Blue, $32.50$32.50', 'White, $33.61$33.61"
Timex,Timex Men's Easy Reader 35mm Day-Date Watch – Silver-Tone Case White Dial with Silver-Tone Expansion Band,0.0,0.0,4.4,545.0,,,"Gold, $32.50$32.50', 'Silver/Blue, $32.50$32.50', 'selected, White, $33.61$33.61"
Fossil,"Fossil Men's Coachman Chronograph, Stainless Steel Watch, CH2564",0.0,0.0,4.4,266.0,,,"selected, Black, $160.00$160.00', 'Brown, $90.89$90.89"
Fossil,"Fossil Men's Coachman Chronograph, Stainless Steel Watch, CH2565",0.0,0.0,4.4,266.0,,,"Black, $160.00$160.00', 'selected, Brown, $90.89$90.89"
Timex,Timex Big Digit DGTL Mens Watch TW5M27000,49.0,30.49,3.9,15.0,"https://i5.walmartimages.com/seo/Timex-Big-Digit-DGTL-Mens-Watch-TW5M27000_d3a49f27-d5c2-4212-8ae6-cc2162b822c7.31f62fc09553753cace7725d9e87c50c.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Timex-Big-Digit-DGTL-Mens-Watch-TW5M27000_d3a49f27-d5c2-4212-8ae6-cc2162b822c7.31f62fc09553753cace7725d9e87c50c.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
George,"George Men's Watch: Matte Silver Tone Case, Off White Easy Read Dial, Tan Vegan Leather Band (FMDOGE048)",0.0,0.0,4.2,46.0,,,
Seiko,Seiko Men's 5 Automatic 21 Jewels SNXS79J1 Stainless Steel Watch,179.0,141.98,4.4,13.0,,,
Seiko,Seiko 5 Automatic Black Arabic Dial Stainless Steel Men's Watch SNK063J5,0.0,0.0,3.5,8.0,,,
Casio,Casio Gold-Tone Stainless Steel Watch,0.0,0.0,4.1,19.0,"https://i5.walmartimages.com/seo/Casio-Gold-Tone-Stainless-Steel-Watch_7b9de6b6-a999-4d25-a0c4-f8e9b08d8056_1.2eab6cf7aba7c888b8dbcca17ba6df7a.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Casio-Gold-Tone-Stainless-Steel-Watch_7b9de6b6-a999-4d25-a0c4-f8e9b08d8056_1.2eab6cf7aba7c888b8dbcca17ba6df7a.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,"selected, Gold, $36.00$36.00', 'Silver, $24.95$24.95"
Casio,"Casio Men's Classic Analog Stainless Steel Watch, Silver MQ24D-7E",0.0,0.0,4.1,19.0,,,"Gold, $36.00$36.00', 'selected, Silver, $24.95$24.95"
Casio G-Shock,"Casio G-Shock Tactical Men's Shoreman Digital Wrist Watch, Black - GW-7900B-1",150.0,97.47,4.3,19.0,,,
George,"GEORGE Men's Watch: Gunmetal Case, Black Dial and Combo Black Vegan Leather Canvas Band (FMDOGE014)",0.0,0.0,3.5,32.0,,,
Invicta,Invicta Pro Diver Men 48mm Stainless Steel Black Black Dial Chronograph Quartz Watch 37231,98.0,79.78,4.9,58.0,"https://i5.walmartimages.com/seo/Invicta-Pro-Diver-Men-48mm-Stainless-Steel-Black-Black-Dial-Chronograph-Quartz-Watch-37231_f3b2f3ca-bd06-4659-9b3a-dfb27e37f12d.dd2371fa914c9c87270716d9578933d0.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Invicta-Pro-Diver-Men-48mm-Stainless-Steel-Black-Black-Dial-Chronograph-Quartz-Watch-37231_f3b2f3ca-bd06-4659-9b3a-dfb27e37f12d.dd2371fa914c9c87270716d9578933d0.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,"selected, Black, $79.78$79.78', 'Gold, $83.90$83.90', 'Gold Black, $70.55$70.55', 'Gold Blue, $92.70$92.70', 'Silver, $79.99$79.99"
Invicta,Invicta Pro Diver Chronograph Gold Dial Black Polyurethane Men's Watch 17566,0.0,0.0,4.9,58.0,,,"Black, $79.78$79.78', 'selected, Gold, $83.90$83.90', 'Gold Black, $70.55$70.55', 'Gold Blue, $92.70$92.70', 'Silver, $79.99$79.99"
Invicta,Invicta Pro Diver Men 48mm Stainless Steel Gold Black Dial Chronograph Quartz Watch 37228,85.87,70.55,4.9,58.0,"https://i5.walmartimages.com/seo/Invicta-Pro-Diver-Men-48mm-Stainless-Steel-Gold-Black-Dial-Chronograph-Quartz-Watch-37228_5ab29d42-6b91-48c1-a6cf-8faab05eac0e.8f71a27b2ccd2b9fd94bd7cd0a277de2.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Invicta-Pro-Diver-Men-48mm-Stainless-Steel-Gold-Black-Dial-Chronograph-Quartz-Watch-37228_5ab29d42-6b91-48c1-a6cf-8faab05eac0e.8f71a27b2ccd2b9fd94bd7cd0a277de2.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,"Black, $79.78$79.78', 'Gold, $83.90$83.90', 'selected, Gold Black, $70.55$70.55', 'Gold Blue, $92.70$92.70', 'Silver, $79.99$79.99"
Invicta,Invicta Pro Diver Men 48mm Stainless Steel Gold Blue dial Chronograph Quartz Watch,107.3,92.7,4.9,58.0,"https://i5.walmartimages.com/seo/Invicta-Pro-Diver-Men-48mm-Stainless-Steel-Gold-Blue-dial-Chronograph-Quartz-Watch_e5c21881-8406-4a99-8b8b-eddbc385e337.c9086448b62d29ee5169d677a5379f4f.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Invicta-Pro-Diver-Men-48mm-Stainless-Steel-Gold-Blue-dial-Chronograph-Quartz-Watch_e5c21881-8406-4a99-8b8b-eddbc385e337.c9086448b62d29ee5169d677a5379f4f.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,"Black, $79.78$79.78', 'Gold, $83.90$83.90', 'Gold Black, $70.55$70.55', 'selected, Gold Blue, $92.70$92.70', 'Silver, $79.99$79.99"
Timex,"Timex Men's Expedition Camper Black/White 38mm Outdoor Watch, FastWrap Strap",0.0,0.0,4.5,77.0,,,
Casio,Casio Men's Large Dial Analog Sport Watch with Green Nylon Strap,0.0,0.0,4.4,15.0,,,
CITIZEN,Citizen Men's Quartz Stainless Watch Black Leather Strap Black Dial BF0580-06E,0.0,0.0,4.0,10.0,,,"selected, Black, $76.96$76.96', 'Gold, $159.99$159.99', 'Two Tone, $159.99$159.99', 'Silver, $129.99, Out of stock$129.99"
CITIZEN,Citizen Men's Quartz Classic Gold-Tone Stainless Steel Watch BF0582-51F,0.0,0.0,4.0,10.0,,,"Black, $76.96$76.96', 'selected, Gold, $159.99$159.99', 'Two Tone, $159.99$159.99', 'Silver, $129.99, Out of stock$129.99"
CITIZEN,Citizen Men's BF0580-57L Quartz Blue Dial Stainless Steel Bracelet Date Watch,0.0,0.0,4.0,10.0,,,"Black, $76.96$76.96', 'Gold, $159.99$159.99', 'Two Tone, $159.99$159.99', 'selected, Silver, $129.99, Out of stock$129.99"
CITIZEN,Citizen Men's Two-Tone Stainless Steel Watch - BF0584-56E,0.0,0.0,4.0,10.0,,,"Black, $76.96$76.96', 'Gold, $159.99$159.99', 'selected, Two Tone, $159.99$159.99', 'Silver, $129.99, Out of stock$129.99"
Casio,Casio Adult Men's Digital Resin Square Plastic Watch AE1200WH-1A,0.0,0.0,4.3,18.0,,,
Casio,Casio Men's Green Nylon Strap Watch FT500WC-53VCF,0.0,0.0,4.5,45.0,,,
Timex,"Timex Men's Expedition Metal Field Brown/White 40mm Outdoor Watch, Leather Strap",0.0,0.0,4.5,75.0,,,
George,George Men's Digital Sport Wristwatch Plastic Strap,0.0,0.0,4.5,39.0,,,
Timex,"Men's Expedition Metal Field Watch, Brown Leather Strap",0.0,0.0,4.4,106.0,,,
Timex,"Timex Men's Expedition Scout Green/Black 40mm Casual Watch, Fabric Strap",0.0,0.0,4.5,31.0,,,
Casio G-Shock,"Casio Adult  Men's G8900-1CR G-Shock Black and Gold Resin, Plastic Digital Sport Watch.",0.0,0.0,4.7,17.0,,,
Timex,"Timex Men's Classic Digital Silver-Tone 34mm Casual Watch, Extra-Long Expansion Band",0.0,0.0,4.4,102.0,,,
Casio,Casio Sport Digital Atomic Watch,0.0,0.0,4.5,330.0,"https://i5.walmartimages.com/seo/Casio-Sport-Digital-Atomic-Watch_5f0764d5-7fa1-4af7-9e0a-dcd68012cafb.4a2dd03a54417a02462a02395684d965.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Casio-Sport-Digital-Atomic-Watch_5f0764d5-7fa1-4af7-9e0a-dcd68012cafb.4a2dd03a54417a02462a02395684d965.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
Invicta,Invicta Pro Diver Automatic Black Dial Men's Watch 8926OB,0.0,0.0,4.4,32.0,,,
Casio G-Shock,Casio Men's G-Shock Multi-Band Solar Atomic Watch GWM5610-1,150.0,103.17,4.5,111.0,,,
Casio G-Shock,Casio Men's G-Shock Wristwatch with Black Resin Strap - GD350-1C,0.0,0.0,4.4,21.0,,,
Casio G-Shock,Casio G-Shock Black Dial Tan Resin Strap Mens Watch GG1000-1A5,350.0,222.21,4.6,17.0,"https://i5.walmartimages.com/seo/Casio-G-Shock-Black-Dial-Tan-Resin-Strap-Mens-Watch-GG1000-1A5_1bdcc83e-804a-4c87-8abd-bdc3f9c6af13_1.865a2704865ee4fa9db92e559a1fbd8d.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Casio-G-Shock-Black-Dial-Tan-Resin-Strap-Mens-Watch-GG1000-1A5_1bdcc83e-804a-4c87-8abd-bdc3f9c6af13_1.865a2704865ee4fa9db92e559a1fbd8d.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
Casio,Casio Adult Men's Digital Watch W96H-1BV- 10 Year Battery,0.0,0.0,4.8,37.0,,,
Casio,Casio Men's Classic Digital Quartz 100m Black Resin Watch W800H-1BV,29.95,21.92,4.1,76.0,,,
Casio G-Shock,Casio Men's Solar Atomic Digital Black and Silver G-Shock Watch GWM500A-1,130.0,79.0,4.4,139.0,,,"selected, Black and Silver, $79.00$79.00', 'Black and Blue, $141.22, Out of stock$141.22"
Casio,Casio Men Sport Rectangle Watch - Black,0.0,0.0,4.6,9.0,,,
George,"George Men's Watch with Brush Gold Round Case, Gold Dial and Brush Gold 5 Link Bracelet (FMDOGE058)",0.0,0.0,3.7,16.0,,,
