brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
Visit the Baseus Store,"Baseus Power Bank 20000mAh Portable Charger 22.5W Dual Output Fast Charging Phone Charger for iPhone 16/15, Black",79.99,29.99,4.7,58.0,,,"10000 mAh, $19.9910000 mAhNow $19.99', 'selected, 20000 mAh, $29.9920000 mAhNow $29.99"
Visit the Anker Store,"Anker Portable Charger, 24,000mAh 65W Power Bank, 537 Power Bank (PowerCore 24K for Laptop), for MacBook Pro, Dell XPS, Microsoft Surface, iPad Pro, iPhone 14 Pro, Apple Watch Series 5, and More",0.0,56.81,4.6,16.0,,,
Visit the SOLPOWBEN Store,"SOLPOWBEN 20000mAh Solar Charger(Black) We Only Sell This Product in One Store, if You Need Genuine Product, please Look for The SOLPOWBEN-US Store",49.99,14.59,4.3,0.0,,,"selected, Black, $14.59$14.59', 'Blue, $14.59$14.59', 'Green, $14.59$14.59', 'Orange, $14.59$14.59', 'Red, $14.59$14.59"
Visit the SOLPOWBEN Store,"SOLPOWBEN 20000mAh Solar Charger for Cell Phone iPhone, Portable Solar Power Bank with Dual 5V USB Ports, 2 LED Light Flashlight, Compass Battery Pack for Outdoor Camping Hiking (Blue)",49.99,14.59,4.3,0.0,,,"Black, $14.59$14.59', 'selected, Blue, $14.59$14.59', 'Green, $14.59$14.59', 'Orange, $14.59$14.59', 'Red, $14.59$14.59"
Visit the SOLPOWBEN Store,"20000mAh Solar Charger for Cell Phone iphone, Portable Solar Power Bank with Dual 5V USB Ports, 2 Led Light Flashlight, Compass Battery Pack for Outdoor Camping Hiking(Green)",49.99,14.59,4.3,0.0,,,"Black, $14.59$14.59', 'Blue, $14.59$14.59', 'selected, Green, $14.59$14.59', 'Orange, $14.59$14.59', 'Red, $14.59$14.59"
Visit the SOLPOWBEN Store,"20000mAh Solar Charger for Cell Phone iPhone, Portable Solar Power Bank with Dual 5V USB Ports, 2 LED Light Flashlight, Compass Battery Pack for Outdoor Camping Hiking(Orange)",49.99,14.59,4.3,0.0,,,"Black, $14.59$14.59', 'Blue, $14.59$14.59', 'Green, $14.59$14.59', 'selected, Orange, $14.59$14.59', 'Red, $14.59$14.59"
BLAVOR,"36000mAh Solar Charger Power Bank with 4 Cables, 15W Fast Charging Portable Charger for Cell Phone, Wireless Charger Solar Battery Pack with Dual Flashlights, Carabiner",69.99,29.98,4.4,118.0,,,"selected, 36000mAh, $29.9836000mAhNow $29.98', '45800mAh45800mAh"
BLAVOR,"36000mAh Solar Charger Power Bank with 4 Cables, 15W Fast Charging Portable Charger for Cell Phone, Wireless Charger Solar Battery Pack with Dual Flashlights, Carabiner",69.99,29.98,4.4,118.0,,,"selected, 36000mAh, $29.9836000mAhNow $29.98', '45800mAh, $49.99, Out of stock45800mAh$49.99"
Visit the Sanptent Store,"Magnetic Power Bank,20000mAh Wireless Portable Charger with LED Display, Built-in Cables, Magsafe Charger with Foldable Stand, 22.5W PD Fast Charging for iPhone/Android, Black",39.99,26.99,4.6,166.0,,,"selected, Black, $26.99Black$26.99', 'Blue, $29.99Blue$29.99', 'Purple, $29.99Purple$29.99', 'White, $29.99White$29.99"
Visit the Sanptent Store,"Magnetic Power Bank,20000mAh Wireless Portable Charger with LED Display, Built-in Cables, Magsafe Charger with Foldable Stand, 22.5W PD Fast Charging for iPhone/Android, Blue",0.0,0.0,4.6,166.0,,,"Black, $26.99Black$26.99', 'selected, Blue, $29.99Blue$29.99', 'Purple, $29.99Purple$29.99', 'White, $29.99White$29.99"
